"","PN-metabolism","PN-signaling","Trafficking","Clearance","Protein synthesis","Folding"
"PCPG",0,0,0,0,0,0
"SKCM",0,0,0,0,0,0
"THCA",0,0,0,0,0,0
"KIRC",0,0,0,0,0,0
"GBM",0,0,0,0,0,0
"PAAD",0,0,0,0,0,0
"SARC",0,0,0,0,0,0
"HNSC",0,0,0,0,0,0
"LIHC",0,0,0,0,0,0
"KIRP",0,0,0,0,0,0
"STAD",0,0,0,0,0,0
"CHOL",0,0,0,0,0,0
"BLCA",0,0,0,0,0,0
"UCEC",0,0,0,0,0,0
"CESC",0,0,0,0,0,0
"KICH",0,0,0,0,0,0
"PRAD",0,0,0,0,0,0
"LUSC",0,0,0,0,0,0
"LUAD",0,0,0,0,0,0
"BRCA",0,0,0,0,0,0
"ESCA",0,0,0,0,0,0
"THYM",0,0,0,0,0,0
